Date,Value,Year
2019-12-10,29997.0,2019
2019-12-11,30089.999744415283,2019
2019-12-12,30051.99930381775,2019
2019-12-13,30358.00058555603,2019
2019-12-16,30241.00043487549,2019
2019-12-17,30725.011191647052,2019
2019-12-18,30691.01089028597,2019
2019-12-19,30824.010882656574,2019
2019-12-20,30884.011254589557,2019
2019-12-23,30713.01158456087,2019
2019-12-24,30676.0114052701,2019
2019-12-25,30521.011386196613,2019
2019-12-26,30701.011214535236,2019
2019-12-27,30846.010909359455,2019
2019-12-30,30904.01080636263,2019
2019-12-31,30851.011452953815,2019
2020-01-02,31180.010543148517,2020
2020-01-03,31214.010892193317,2020
2020-01-06,31001.010546963214,2020
2020-01-07,31148.011384289264,2020
2020-01-08,30817.01072243929,2020
2020-01-09,30840.0109150815,2020
2020-01-10,30852.010855953693,2020
2020-01-13,30823.01109818697,2020
2020-01-14,30808.011327068805,2020
2020-01-15,30583.010993282795,2020
2020-01-16,30341.011271755695,2020
2020-01-17,30387.011227886676,2020
2020-01-20,30477.01076058626,2020
2020-01-21,30201.011023800373,2020
2020-01-22,30220.01112488985,2020
2020-01-23,29898.010335247516,2020
2020-02-03,28372.511122028827,2020
2020-02-04,28904.510805408954,2020
2020-02-05,28888.510772984027,2020
2020-02-06,28964.5109150815,2020
2020-02-07,28812.511274616718,2020
2020-02-10,28745.511338512897,2020
2020-02-11,28950.51152447939,2020
2020-02-12,28992.511317532062,2020
2020-02-13,28814.51067666292,2020
2020-02-14,28965.511128704547,2020
2020-02-17,29309.490857290624,2020
2020-02-18,29139.49101941526,2020
2020-02-19,29230.491337942483,2020
2020-02-20,29450.491652655008,2020
2020-02-21,29388.4907581085,2020
2020-02-24,29143.491206335428,2020
2020-02-25,28963.49118726194,2020
2020-02-26,29082.49104993284,2020
2020-02-27,29131.49121777952,2020
2020-02-28,28624.491295980813,2020
2020-03-02,28992.491517233255,2020
2020-03-03,29094.491276907327,2020
2020-03-04,29135.49135701597,2020
2020-03-05,29499.49120061338,2020
2020-03-06,29198.491654562356,2020
2020-03-09,28738.491234945657,2020
2020-03-10,28963.491377996805,2020
2020-03-11,28821.49170415342,2020
2020-03-12,28796.491513418558,2020
2020-03-13,28624.491057562234,2020
2020-03-16,28322.491250204446,2020
2020-03-17,28376.490960287454,2020
2020-03-18,28013.491139578226,2020
2020-03-19,27496.4910365814,2020
2020-03-20,27847.491488623025,2020
2020-03-23,27289.491067098978,2020
2020-03-24,27825.490985082986,2020
2020-03-25,28005.490956472757,2020
2020-03-26,28098.49103467405,2020
2020-03-27,28273.491225408914,2020
2020-03-30,28336.49095075071,2020
2020-03-31,28008.50016627252,2020
2020-04-01,28050.50046000421,2020
2020-04-02,28220.500345563294,2020
2020-04-03,28096.500630711915,2020
2020-04-07,28245.500274037717,2020
2020-04-08,28102.500243520142,2020
2020-04-09,28087.500853871705,2020
2020-04-10,28066.500063275693,2020
2020-04-13,28025.50026926935,2020
2020-04-14,28148.500581120847,2020
2020-04-15,28138.500376080872,2020
2020-04-16,28165.49992117822,2020
2020-04-17,28261.500521039365,2020
2020-04-20,28094.500251149533,2020
2020-04-21,27943.500395154355,2020
2020-04-22,27907.500596379636,2020
2020-04-23,27690.50042185724,2020
2020-04-24,27590.500350331666,2020
2020-04-27,27713.500995969174,2020
2020-04-28,27666.500659322144,2020
2020-04-29,28028.500480985043,2020
2020-04-30,28188.499946927426,2020
2020-05-06,27877.500624989865,2020
2020-05-07,27802.500315045712,2020
2020-05-08,27906.500215863583,2020
2020-05-11,27988.50013766229,2020
2020-05-12,27875.50046000421,2020
2020-05-13,27913.50080523431,2020
2020-05-14,27749.500317906735,2020
2020-05-15,27724.50060400903,2020
2020-05-18,27740.500541066525,2020
2020-05-19,27861.50004420221,2020
2020-05-20,27911.500211095212,2020
2020-05-21,27858.500476216675,2020
2020-05-22,27574.500580167172,2020
2020-05-25,27698.500843381284,2020
2020-05-26,27660.50061736047,2020
2020-05-27,27789.500327443482,2020
2020-05-28,28000.500293111203,2020
2020-05-29,27789.500327443482,2020
2020-06-01,27954.50033698022,2020
2020-06-02,28042.500086163876,2020
2020-06-03,28113.50023302972,2020
2020-06-04,28042.50003848016,2020
2020-06-05,28113.50023302972,2020
2020-06-08,28163.49992308557,2020
2020-06-09,28225.50034079492,2020
2020-06-10,28010.68046381891,2020
2020-06-11,27813.68048479974,2020
2020-06-12,27735.68008234918,2020
2020-06-15,27491.680028943418,2020
2020-06-16,27685.68005850732,2020
2020-06-17,27614.680126218198,2020
2020-06-18,27507.680395154355,2020
2020-06-19,27556.67991927087,2020
2020-06-22,27508.68017962396,2020
2020-06-23,27357.680156735776,2020
2020-06-24,27563.67991259515,2020
2020-06-29,27548.68035605371,2020
2020-06-30,27616.700683164003,2020
2020-07-01,27757.700048016908,2020
2020-07-02,28261.700234937074,2020
2020-07-03,28806.41875556767,2020
2020-07-06,30526.26246453452,2020
2020-07-07,30440.79321549223,2020
2020-07-08,30381.120621808335,2020
2020-07-09,30128.121006139085,2020
2020-07-10,29488.03921944943,2020
2020-07-13,29504.539250920683,2020
2020-07-14,29251.660991726785,2020
2020-07-15,28977.416367214457,2020
2020-07-16,28853.416461628214,2020
2020-07-17,28819.416184108988,2020
2020-07-20,29140.416521709696,2020
2020-07-21,29000.416178386942,2020
2020-07-22,28964.41652266337,2020
2020-07-23,28747.416753452555,2020
2020-07-24,28386.70671618594,2020
2020-07-27,28280.70703185214,2020
2020-07-28,28326.707154876127,2020
2020-07-29,28531.93244179457,2020
2020-07-30,28387.932579123673,2020
2020-07-31,28361.932603919206,2020
2020-08-03,28456.93246563643,2020
2020-08-04,28741.93300446242,2020
2020-08-05,28518.93278797835,2020
2020-08-06,28535.932581031022,2020
2020-08-07,28415.932743155656,2020
2020-08-10,28491.93243225783,2020
2020-08-11,28461.932508551774,2020
2020-08-12,28460.932461821732,2020
2020-08-13,28436.932532393632,2020
2020-08-14,28581.932537162003,2020
2020-08-17,28997.51802006441,2020
2020-08-18,28800.518255621966,2020
2020-08-19,28682.517891318377,2020
2020-08-20,28537.517552763995,2020
2020-08-21,28569.51771298128,2020
2020-08-24,28506.517725379046,2020
2020-08-25,28510.51772156435,2020
2020-08-26,28389.92322527951,2020
2020-08-27,28359.923039313013,2020
2020-08-28,28498.923097487146,2020
2020-08-31,28340.92310511654,2020
2020-09-01,28303.923116560632,2020
2020-09-02,28155.6323032533,2020
2020-09-03,28088.63200952161,2020
2020-09-04,27987.63229657758,2020
2020-09-07,27926.63252164472,2020
2020-09-08,28152.631972328312,2020
2020-09-09,28077.63223458875,2020
2020-09-10,27982.631943718083,2020
2020-09-11,28003.632090583927,2020
2020-09-14,28018.632052436955,2020
2020-09-15,27997.631953254826,2020
2020-09-16,28056.632230774052,2020
2020-09-17,28053.632209793217,2020
2020-09-18,28281.63168241132,2020
2020-09-21,28172.63212014783,2020
2020-09-22,28033.632228866703,2020
2020-09-23,28005.632279411442,2020
2020-09-24,27857.314297576973,2020
2020-09-25,27843.313977142403,2020
2020-09-28,28042.31404962165,2020
2020-09-29,27915.314003845284,2020
2020-09-30,27893.31435670478,2020
2020-10-09,27908.314008613655,2020
2020-10-12,28170.314092536995,2020
2020-10-13,28020.314235588143,2020
2020-10-14,27992.31409539802,2020
2020-10-15,28113.313765426705,2020
2020-10-16,28427.314062019417,2020
2020-10-19,28563.48141607148,2020
2020-10-20,28287.481631601877,2020
2020-10-21,28536.48151334626,2020
2020-10-22,28538.481392229623,2020
2020-10-23,28649.48142942292,2020
2020-10-26,28557.48151716096,2020
2020-10-27,28427.481712664194,2020
2020-10-28,28225.481595362253,2020
2020-10-29,28076.481594408582,2020
2020-10-30,28043.481864298414,2020
2020-11-02,28110.48180040223,2020
2020-11-03,28185.481418932504,2020
2020-11-04,28252.481593454904,2020
2020-11-05,28293.481697405405,2020
2020-11-06,28417.48155530793,2020
2020-11-09,28479.48163923127,2020
2020-11-10,28567.481650675363,2020
2020-11-11,28810.481395090646,2020
2020-11-12,28619.481958712167,2020
2020-11-13,28324.481882418222,2020
2020-11-16,28406.48156579835,2020
2020-11-17,28490.481724108286,2020
2020-11-18,28694.481648768015,2020
2020-11-19,28777.48173650605,2020
2020-11-20,28620.481719339914,2020
2020-11-23,28918.481435144968,2020
2020-11-24,28880.48147138459,2020
2020-11-25,28860.960421956846,2020
2020-11-26,29047.96045819647,2020
2020-11-27,29865.34195302821,2020
2020-11-30,29901.560275493033,2020
2020-12-01,30286.35264771975,2020
2020-12-02,30110.352147994407,2020
2020-12-03,30016.352666793235,2020
2020-12-04,29754.35239213503,2020
2020-12-07,29471.20264094866,2020
2020-12-08,29265.255342779525,2020
2020-12-09,29220.25526648558,2020
2020-12-10,29068.255411444075,2020
2020-12-11,29025.555642423995,2020
2020-12-14,28958.655993399985,2020
2020-12-15,28763.68114530242,2020
2020-12-16,28755.581016651755,2020
2020-12-17,28842.580862156516,2020
2020-12-18,28739.581031910544,2020
2020-12-21,28738.581056706076,2020
2020-12-22,28454.316068522105,2020
2020-12-23,28427.31559359229,2020
2020-12-24,28449.315954081183,2020
2020-12-25,28495.315481058726,2020
2020-12-28,28464.315486780768,2020
2020-12-29,28478.316045633917,2020
2020-12-30,28440.315938822394,2020
2020-12-31,28560.816036097174,2020
2021-01-04,28465.815912119513,2021
2021-01-05,28396.815572611456,2021
2021-01-06,28496.81597792304,2021
2021-01-07,28596.815930239325,2021
2021-01-08,28660.816059939032,2021
2021-01-11,28741.815553537974,2021
2021-01-12,28814.81557928718,2021
2021-01-13,29014.456502751476,2021
2021-01-14,29131.605869455703,2021
2021-01-15,29545.71314335699,2021
2021-01-18,29457.713370331476,2021
2021-01-19,29781.804685695395,2021
2021-01-20,29541.80548678182,2021
2021-01-21,29495.80507765554,2021
2021-01-22,29201.553590013013,2021
2021-01-25,29211.553866578564,2021
2021-01-26,29215.553648187146,2021
2021-01-27,29340.553791238297,2021
2021-01-28,29200.553519441113,2021
2021-01-29,29336.55393810414,2021
2021-02-01,29478.553349687085,2021
2021-02-02,29349.55363960408,2021
2021-02-03,29267.55371780537,2021
2021-02-04,29328.553635789383,2021
2021-02-05,29849.347122489547,2021
2021-02-08,29770.347460090255,2021
2021-02-09,29700.3475030056,2021
2021-02-10,30038.655885579316,2021
2021-02-18,30081.65539157602,2021
2021-02-19,30148.655470730988,2021
2021-02-22,30403.655370595185,2021
2021-02-23,30394.655712964264,2021
2021-02-24,30113.65605247232,2021
2021-02-25,30538.655527951447,2021
2021-02-26,30341.65578735086,2021
2021-03-01,30286.65593517038,2021
2021-03-02,30024.65594661447,2021
2021-03-03,30633.655198933808,2021
2021-03-04,30636.005803499786,2021
2021-03-05,30860.005661402312,2021
2021-03-08,30760.006066713897,2021
2021-03-09,30577.005597506133,2021
2021-03-10,30556.0057844263,2021
2021-03-11,30747.005816851226,2021
2021-03-12,30751.00581303653,2021
2021-03-15,30993.835533388225,2021
2021-03-16,31104.384328844062,2021
2021-03-17,30919.3846244831,2021
2021-03-18,30830.384375574104,2021
2021-03-19,30522.526401863543,2021
2021-03-22,30754.526252136675,2021
