Period,Return (%),Val
2019 年度,2.85%,2.8469895421336044
2020 年度,-7.42%,-7.423404643796106
2021 年度,3.36%,3.360754323597881
2022 年度,4.76%,4.755829407545775
2023 年度,26.04%,26.04019205944692
2024 年度,42.99%,42.98866304216287
2025 年度,12.31%,12.314671818898027
2026 年度,-3.39%,-3.389780016080357
2019-2020 (2年期),-4.79%,-4.787758655541641
2020-2021 (2年期),-4.31%,-4.3121327127227715
2021-2022 (2年期),8.28%,8.27641547358069
2022-2023 (2年期),32.03%,32.0344485787373
2023-2024 (2年期),80.22%,80.2231855215775
2024-2025 (2年期),60.60%,60.59724763403518
2025-2026 (2年期),8.51%,8.5074515184548
2019-2021 (3年期),-1.59%,-1.587909137963306
2020-2022 (3年期),0.24%,0.2386190191789428
2021-2023 (3年期),36.47%,36.47180201798583
2022-2024 (3年期),88.79%,88.79429277782849
2023-2025 (3年期),102.42%,102.41707936012352
2024-2026 (3年期),55.15%,55.15335422736158
2019-2023 (5年期),29.94%,29.937861504496066
2020-2024 (5年期),80.65%,80.65323231920215
2021-2025 (5年期),119.17%,119.1699578374549
2022-2026 (5年期),104.86%,104.85587570551185
