Date,Open,Close,High,Low,Volume
2015-10-23,5583.82,5589.39,5594.25,5569.43,16364097
2015-10-26,5619.18,5603.94,5650.45,5593.24,16974651
2015-10-27,5593.95,5586.13,5597.6,5551.46,13051117
2015-10-28,5568.76,5553.84,5596.48,5551.16,13735812
2015-10-29,5547.28,5545.64,5566.45,5539.8,9912396
2015-10-30,5543.25,5557.36,5590.83,5542.32,11686805
2015-11-02,5528.58,5508.06,5553.74,5508.06,10806415
2015-11-03,5511.52,5484.39,5531.79,5477.8,11048845
2015-11-04,5490.42,5648.02,5657.09,5487.3,23117813
2015-11-05,5625.12,5784.05,5887.96,5619.27,49834924
2015-11-06,5752.97,5826.28,5832.77,5724.12,29298447
2015-11-09,5872.79,6026.12,6187.73,5872.79,59661765
2015-11-10,5956.09,5967.96,6048.35,5918.55,32941296
2015-11-11,5959.67,5884.01,5960.53,5829.13,22916912
2015-11-12,5902.22,5815.4,5905.14,5790.68,16568322
2015-11-13,5771.01,5771.06,5838.58,5765.39,14869615
2015-11-16,5714.76,5781.95,5788.38,5713.96,13471118
2015-11-17,5799.27,5801.3,5895.78,5793.7,21783512
2015-11-18,5809.37,5818.4,5898.16,5755.09,23048632
2015-11-19,5805.39,5883.84,5884.42,5805.39,16797316
2015-11-20,5877.65,5901.65,5941.46,5868.92,20690937
2015-11-23,5897.72,5895.74,5936.05,5871.03,16155205
2015-11-24,5876.83,5847.96,5881.7,5801.14,17610745
2015-11-25,5829.7,5878.57,5882.49,5787.97,18738589
2015-11-26,5883.06,5845.06,5905.26,5843.67,16638904
2015-11-27,5821.56,5632.49,5822.37,5597.14,19300912
2015-11-30,5634.65,5716.89,5740.83,5617.3,24037443
2015-12-01,5709.87,5679.21,5727.7,5625.15,17412060
2015-12-02,5667.2,5999.54,6014.4,5663.97,44198840
2015-12-03,5957.53,6019.09,6082.08,5902.89,56388572
2015-12-04,5957.57,5844.51,5963.93,5835.68,26290762
2015-12-07,5852.12,5870.4,5871.47,5824.38,13918576
2015-12-08,5837.07,5844.72,5887.6,5774.71,17040672
2015-12-09,5812.67,5839.05,5882.03,5812.56,13335787
2015-12-10,5833.53,5808.4,5922.36,5799.81,13614127
2015-12-11,5782.52,5749.26,5789.62,5707.94,13982535
2015-12-14,5700.69,5840.51,5853.46,5697.28,17752032
2015-12-15,5830.41,5767.5,5831.73,5757.51,11585674
2015-12-16,5780.89,5749.38,5791.49,5736.35,9502683
2015-12-17,5770.23,5806.15,5827.91,5761.02,15257523
2015-12-18,5791.35,5893.49,6068.47,5790.79,28903560
2015-12-21,5858.11,6098.37,6149.14,5854.89,38195885
2015-12-22,6068.98,6047.75,6110.94,6008.69,21191934
2015-12-23,6052.99,6052.6,6160.5,6013.23,27959389
2015-12-24,6051.8,6059.12,6086.33,5976.8,20273791
2015-12-25,6063.18,6083.23,6096.16,6048.74,12373915
2015-12-28,6081.73,5903.04,6087.43,5902.14,20027328
2015-12-29,5898.47,5961.55,5984.9,5882.63,12146604
2015-12-30,5947.9,5979.95,5980.6,5880.08,12158874
2015-12-31,5959.64,5962.16,5995.74,5906.0,15369045
2016-01-04,5941.02,5696.25,5941.4,5693.33,14153539
2016-01-05,5636.99,5734.88,5782.07,5623.39,18424364
2016-01-06,5724.39,5778.78,5782.33,5699.98,12553359
2016-01-07,5710.21,5548.55,5715.16,5538.53,4111963
2016-01-08,5632.6,5614.65,5697.71,5514.71,19408861
2016-01-11,5544.9,5427.46,5559.77,5427.46,19149317
2016-01-12,5461.49,5440.72,5487.83,5430.31,13104620
2016-01-13,5491.21,5399.98,5492.0,5394.71,11220301
2016-01-14,5309.27,5431.11,5442.35,5302.06,14840308
2016-01-15,5411.44,5330.28,5442.52,5305.65,12979124
2016-01-18,5264.1,5317.16,5367.32,5260.66,11474813
2016-01-19,5332.1,5397.55,5409.44,5292.46,11708160
2016-01-20,5364.93,5323.94,5380.53,5280.32,12526407
2016-01-21,5290.75,5247.09,5408.69,5247.09,13258195
2016-01-22,5293.19,5284.84,5306.32,5232.8,9771106
2016-01-25,5285.04,5293.26,5293.33,5252.25,8432864
2016-01-26,5259.12,5088.29,5268.66,5066.67,13766805
2016-01-27,5108.74,5103.78,5149.08,5043.43,15104290
2016-01-28,5091.73,5035.35,5104.56,4995.76,9926253
2016-01-29,5037.27,5136.12,5174.81,5032.7,13623111
2016-02-01,5132.27,5051.16,5143.67,5015.45,9655055
2016-02-02,5039.77,5095.07,5122.62,5039.21,8532566
2016-02-03,5050.74,5047.05,5063.0,5013.05,7715865
2016-02-04,5076.24,5105.62,5108.85,5061.38,7969252
2016-02-05,5107.96,5127.72,5132.04,5092.42,6775069
2016-02-15,5020.94,5084.76,5106.96,5013.93,7378142
2016-02-16,5101.78,5179.02,5187.88,5101.69,9940905
2016-02-17,5176.31,5195.0,5211.16,5164.4,10015978
2016-02-18,5205.62,5187.38,5221.08,5178.51,10075235
2016-02-19,5175.72,5151.39,5186.35,5136.74,8041321
2016-02-22,5185.39,5240.25,5256.44,5163.34,13900952
2016-02-23,5231.02,5179.24,5231.02,5151.93,9071860
2016-02-24,5161.54,5189.33,5191.62,5147.12,7208474
2016-02-25,5186.47,5029.66,5186.47,5016.94,16367299
2016-02-26,5047.69,5081.86,5101.66,5036.88,10099669
2016-02-29,5068.56,5098.81,5116.75,4975.9,17066599
2016-03-01,5089.07,5113.67,5136.4,5060.75,9869686
2016-03-02,5134.52,5222.43,5223.21,5119.07,17151209
2016-03-03,5218.21,5268.78,5270.33,5200.32,15214562
2016-03-04,5248.72,5492.91,5514.19,5240.23,43034223
2016-03-07,5462.84,5438.64,5483.26,5415.2,15392666
2016-03-08,5420.72,5477.21,5485.9,5288.72,16114490
2016-03-09,5388.31,5503.21,5504.9,5352.35,16714871
2016-03-10,5443.04,5386.78,5473.79,5382.88,9429426
2016-03-11,5364.12,5383.08,5383.08,5289.1,10986336
2016-03-14,5390.7,5353.2,5457.94,5342.42,14327274
2016-03-15,5365.4,5417.29,5430.12,5314.04,13371829
2016-03-16,5383.9,5552.27,5566.53,5378.81,30721951
2016-03-17,5533.47,5478.28,5557.62,5448.09,16318546
2016-03-18,5487.25,5476.01,5508.4,5450.96,22211193
2016-03-21,5481.79,5512.07,5562.86,5475.26,23275105
2016-03-22,5513.21,5496.81,5575.9,5488.42,13436951
2016-03-23,5494.35,5484.71,5514.02,5472.91,9168735
2016-03-24,5471.55,5422.11,5471.55,5421.05,9094068
2016-03-25,5420.3,5433.07,5448.31,5420.3,5718427
2016-03-28,5438.26,5379.2,5465.64,5364.48,8675438
2016-03-29,5390.85,5365.63,5414.84,5358.68,8705625
2016-03-30,5398.11,5479.55,5487.65,5398.11,13700446
2016-03-31,5493.81,5463.05,5497.4,5442.52,10504920
2016-04-01,5466.57,5501.87,5503.83,5395.25,12421482
2016-04-05,5456.79,5514.11,5521.09,5430.1,13495518
2016-04-06,5478.52,5466.5,5495.91,5453.0,9041224
2016-04-07,5477.54,5413.59,5477.67,5412.74,8514423
2016-04-08,5386.24,5411.06,5433.9,5385.72,7395427
2016-04-11,5411.45,5449.4,5480.03,5411.45,9575534
2016-04-12,5455.31,5439.74,5455.31,5427.36,5692297
