Date,Open,Close,High,Low,Volume,PB,DivCash
2015-01-05,2.719,2.879,2.979,2.629,5604244,,0.0
2015-01-06,2.749,2.779,3.179,2.709,5430745,,0.0
2015-01-07,2.649,2.589,2.749,2.479,4606648,,0.0
2015-01-08,2.619,2.309,2.659,2.259,4272470,,0.0
2015-01-09,2.309,2.359,2.729,2.179,6223735,,0.0
2015-01-12,2.259,2.209,2.339,2.109,3526712,,0.0
2015-01-13,2.179,2.139,2.239,2.109,1927966,,0.0
2015-01-14,2.159,2.289,2.359,2.159,2644158,,0.0
2015-01-15,2.289,2.509,2.509,2.229,2873713,,0.0
2015-01-16,2.539,2.599,2.669,2.459,4371585,,0.0
2015-01-19,2.009,1.939,2.239,1.939,4496685,,0.0
2015-01-20,1.909,1.899,2.049,1.759,3330367,,0.0
2015-01-21,1.939,2.229,2.289,1.839,4342528,,0.0
2015-01-22,2.209,2.159,2.279,2.059,2880121,,0.0
2015-01-23,2.219,2.169,2.309,2.129,3372496,,0.0
2015-01-26,2.139,2.109,2.159,2.019,2125211,,0.0
2015-01-27,2.109,1.979,2.129,1.869,2738929,,0.0
2015-01-28,1.929,1.929,2.009,1.879,1461444,,0.0
2015-01-29,1.809,1.839,1.879,1.769,1696872,,0.0
2015-01-30,1.859,1.809,1.899,1.779,1275619,,0.0
2015-02-02,1.679,1.629,1.749,1.619,1519264,,0.0
2015-02-03,1.679,1.769,1.779,1.619,1403595,,0.0
2015-02-04,1.779,1.679,1.859,1.669,1265184,,0.0
2015-02-05,1.969,1.599,1.989,1.589,3151139,,0.0
2015-02-06,1.559,1.449,1.599,1.389,1682585,,0.0
2015-02-09,1.419,1.479,1.539,1.309,1661105,,0.0
2015-02-10,1.439,1.539,1.579,1.419,1777136,,0.0
2015-02-11,1.539,1.519,1.559,1.479,919701,,0.0
2015-02-12,1.519,1.499,1.529,1.409,1087969,,0.0
2015-02-13,1.509,1.549,1.619,1.499,2173379,,0.0
2015-02-16,1.549,1.539,1.559,1.489,1165704,,0.0
2015-02-17,1.539,1.559,1.609,1.529,1407271,,0.0
2015-02-25,1.569,1.499,1.579,1.479,1104473,,0.0
2015-02-26,1.479,1.639,1.649,1.459,2096556,,0.0
2015-02-27,1.639,1.649,1.689,1.599,1529593,,0.0
2015-03-02,1.679,1.689,1.699,1.619,1962505,,0.0
2015-03-03,1.659,1.489,1.659,1.469,2333055,,0.0
2015-03-04,1.479,1.459,1.499,1.429,1523053,,0.0
2015-03-05,1.429,1.309,1.439,1.289,1941923,,0.0
2015-03-06,1.309,1.349,1.369,1.299,1333497,,0.0
2015-03-09,1.409,1.659,1.679,1.309,3843173,,0.0
2015-03-10,1.609,1.529,1.609,1.519,2132753,,0.0
2015-03-11,1.549,1.599,1.679,1.539,1963868,,0.0
2015-03-12,1.709,1.799,1.899,1.639,4210323,,0.0
2015-03-13,1.799,1.769,1.929,1.719,2906617,,0.0
2015-03-16,1.809,1.829,1.849,1.749,2316688,,0.0
2015-03-17,1.869,1.889,1.909,1.819,2786581,,0.0
2015-03-18,1.899,2.069,2.079,1.889,3548223,,0.0
2015-03-19,2.069,1.999,2.079,1.959,2602539,,0.0
2015-03-20,1.979,2.069,2.159,1.949,3630781,,0.0
2015-03-23,2.119,2.139,2.169,2.089,2918825,,0.0
2015-03-24,2.139,2.099,2.239,2.049,3448501,,0.0
2015-03-25,2.089,1.939,2.099,1.919,3301041,,0.0
2015-03-26,1.889,1.939,2.029,1.819,2476193,,0.0
2015-03-27,1.939,1.949,2.009,1.889,2333240,,0.0
2015-03-30,1.979,2.149,2.149,1.979,4201703,,0.0
2015-03-31,2.239,2.059,2.289,2.019,4886517,,0.0
2015-04-01,2.059,2.109,2.139,2.039,2738639,,0.0
2015-04-02,2.129,2.069,2.149,1.999,2693803,,0.0
2015-04-03,2.029,2.079,2.089,1.999,2271711,,0.0
2015-04-07,2.189,2.239,2.249,2.119,4729454,,0.0
2015-04-08,2.239,2.319,2.319,2.149,5151490,,0.0
2015-04-09,2.329,2.339,2.479,2.259,6019952,,0.0
2015-04-10,2.339,2.449,2.469,2.299,4486937,,0.0
2015-04-13,2.609,2.909,2.999,2.599,9193852,,0.0
2015-04-14,2.849,2.869,2.959,2.729,5097699,,0.0
2015-04-15,2.849,2.999,3.259,2.789,6696840,,0.0
2015-04-16,2.969,3.159,3.169,2.889,4823662,,0.0
2015-04-17,3.259,3.149,3.339,3.049,5782469,,0.0
2015-04-20,3.169,2.799,3.209,2.769,7305067,,0.0
2015-04-21,2.809,2.869,2.889,2.659,4350802,,0.0
2015-04-22,2.889,2.959,2.979,2.839,4271688,,0.0
2015-04-23,2.959,2.859,2.979,2.839,3461438,,0.0
2015-04-24,2.759,2.669,2.799,2.559,3935508,,0.0
2015-04-27,2.689,2.939,2.939,2.689,5026342,,0.0
2015-04-28,2.979,3.099,3.409,2.939,8495287,,0.0
2015-04-29,3.039,2.939,3.039,2.859,3850568,,0.0
2015-04-30,2.949,2.809,2.959,2.799,3088007,,0.0
2015-05-04,2.809,2.859,2.869,2.739,2146183,,0.0
2015-05-05,2.849,2.509,2.849,2.479,3513926,,0.0
2015-05-06,2.509,2.459,2.729,2.349,3001223,,0.0
2015-05-07,2.449,2.349,2.509,2.319,2171981,,0.0
2015-05-08,2.399,2.429,2.459,2.329,1935675,,0.0
2015-05-11,2.429,2.519,2.539,2.329,2769240,,0.0
2015-05-12,2.529,2.549,2.579,2.459,2519051,,0.0
2015-05-13,2.589,2.619,2.759,2.519,3730640,,0.0
2015-05-14,2.679,2.559,2.699,2.509,2475342,,0.0
2015-05-15,2.519,2.389,2.569,2.349,2153615,,0.0
2015-05-18,2.329,2.269,2.389,2.259,1717379,,0.0
2015-05-19,2.259,2.459,2.499,2.239,2127010,,0.0
2015-05-20,2.479,2.449,2.549,2.409,2591458,,0.0
2015-05-21,2.459,2.449,2.469,2.389,1938434,,0.0
2015-05-22,2.499,2.629,2.639,2.479,3109969,,0.0
2015-05-25,2.669,2.789,2.799,2.659,3290073,,0.0
2015-05-26,2.829,2.809,2.849,2.709,3107430,,0.0
2015-05-27,2.809,2.719,2.829,2.659,3643726,,0.0
2015-05-28,2.699,2.319,2.749,2.299,4714975,,0.0
2015-05-29,2.289,2.329,2.629,2.139,4390718,,0.0
2015-06-01,2.359,2.649,2.679,2.289,4657229,,0.0
2015-06-02,2.629,2.639,2.689,2.539,3617304,,0.0
2015-06-03,2.659,2.609,2.679,2.519,3649733,,0.0
2015-06-04,2.639,2.879,2.939,2.569,6916812,,0.0
2015-06-05,3.009,2.849,3.059,2.739,5070477,,0.0
2015-06-08,2.849,3.329,3.339,2.819,9254978,,0.0
2015-06-09,3.369,3.219,3.419,3.089,6827855,,0.0
2015-06-10,3.139,3.119,3.199,3.079,3636010,,0.0
2015-06-11,3.119,3.029,3.159,2.959,3175238,,0.0
2015-06-12,3.019,3.069,3.069,2.959,3231899,,0.0
2015-06-15,3.069,2.859,3.079,2.839,3537352,,0.0
2015-06-16,2.809,2.799,2.949,2.679,3225928,,0.0
2015-06-17,2.989,2.959,3.029,2.809,4326625,,0.0
2015-06-18,2.909,2.659,2.919,2.609,2978553,,0.0
2015-06-19,2.599,2.349,2.709,2.329,2897982,,0.0
2015-06-23,2.379,2.559,2.569,2.259,2470987,,0.0
2015-06-24,2.609,2.759,2.759,2.559,3000173,,0.0
