日期,股票,类型,价格,股数,金额,手续费,红利补税
2019-08-12,工商银行,初始建仓,3.629,1400,5080.60,0.50,0.00
2019-08-12,农业银行,初始建仓,2.092,2400,5020.80,0.50,0.00
2019-08-12,中国银行,初始建仓,2.151,2300,4947.30,0.50,0.00
2019-08-12,建设银行,初始建仓,4.802,1000,4802.00,0.50,0.00
2019-08-12,交通银行,初始建仓,3.26,1500,4890.00,0.50,0.00
2019-08-13,工商银行,网格买入,3.61,300,1083.00,0.50,0.00
2019-08-13,农业银行,网格买入,2.07,500,1035.00,0.50,0.00
2019-08-13,农业银行,网格买入,2.06,600,1236.00,0.50,0.00
2019-08-13,中国银行,网格买入,2.14,500,1070.00,0.50,0.00
2019-08-14,工商银行,网格卖出,3.66,300,1098.00,1.05,0.00
2019-08-14,农业银行,网格买入,2.05,700,1435.00,0.50,0.00
2019-08-14,农业银行,网格卖出,2.08,800,1664.00,1.33,0.00
2019-08-14,中国银行,网格卖出,2.17,600,1302.00,1.15,0.00
2019-08-14,建设银行,网格买入,4.76,200,952.00,0.50,0.00
2019-08-14,建设银行,网格买入,4.74,200,948.00,0.50,0.00
2019-08-14,建设银行,网格买入,4.72,300,1416.00,0.50,0.00
2019-08-30,农业银行,再平衡卖出,2.01,1000,2010.00,1.50,0.00
2019-08-30,建设银行,再平衡卖出,4.51,600,2706.00,1.85,0.00
2019-08-30,中国银行,再平衡买入,2.1,100,210.00,0.50,0.00
2019-09-02,建设银行,网格买入,4.49,200,898.00,0.50,0.00
2019-09-02,交通银行,网格卖出,3.19,300,957.00,0.98,0.00
2019-09-03,工商银行,网格买入,3.49,300,1047.00,0.50,0.00
2019-09-03,建设银行,网格买入,4.47,300,1341.00,0.50,0.00
2019-09-03,交通银行,网格买入,3.17,200,634.00,0.50,0.00
2019-09-03,交通银行,网格买入,3.15,300,945.00,0.50,0.00
2019-09-03,交通银行,网格卖出,3.2,300,960.00,0.98,0.00
2019-09-04,工商银行,网格卖出,3.54,300,1062.00,1.03,0.00
2019-09-04,农业银行,网格卖出,2.04,500,1020.00,1.01,0.00
2019-09-04,中国银行,网格卖出,2.13,500,1065.00,1.03,0.00
2019-09-04,中国银行,网格卖出,2.16,400,864.00,0.93,0.00
2019-09-04,建设银行,网格卖出,4.54,300,1362.00,1.18,0.00
2019-09-04,建设银行,网格卖出,4.61,300,1383.00,1.19,0.00
2019-09-04,交通银行,网格买入,3.18,300,954.00,0.50,0.00
2019-09-04,交通银行,网格买入,3.16,300,948.00,0.50,0.00
2019-09-04,交通银行,网格卖出,3.21,400,1284.00,1.14,0.00
2019-09-05,工商银行,网格卖出,3.6,300,1080.00,1.04,0.00
2019-09-05,工商银行,网格卖出,3.65,200,730.00,0.86,0.00
2019-09-05,农业银行,网格卖出,2.07,400,828.00,0.91,0.00
2019-09-05,农业银行,网格卖出,2.1,300,630.00,0.81,0.00
